name,popularity,followers_total,Country,images_df
Tiakola,72,248243,France,https://i.scdn.co/image/ab6761610000e5eb21b01a74c97830972f4f5813
PNL,74,5303894,France,https://i.scdn.co/image/ab6761610000e5eb51767bb5e3e3add66699344b
UZI,60,347973,France,https://i.scdn.co/image/ab6761610000e5eb666cc58a8215c34a7a2f845d
Negrito,52,55392,France,https://i.scdn.co/image/ab6761610000e5eba8ae76198b579048f3503b7a
Booba,68,2465840,France,https://i.scdn.co/image/ab6761610000e5eb96b3ab10e89bad078d125c3a
Vegedream,65,1422582,France,https://i.scdn.co/image/ab6761610000e5eb29c724a58248ed82bafdd33c
OBOY,68,582841,France,https://i.scdn.co/image/ab6761610000e5eb3188b84121ff7f0f8512f13c
SCH,71,1625677,France,https://i.scdn.co/image/ab6761610000e5eb0fac19961e6917fc688bb92e
Lartiste,60,1713478,France,https://i.scdn.co/image/ab6761610000e5eb35445c777d59ca0079423bbd
Franglish,62,707561,France,https://i.scdn.co/image/ab6761610000e5eb36279dd455e630cbfc712ab7
Leto,66,571017,France,https://i.scdn.co/image/ab6761610000e5eb9be5715c092404ef66664a8f
Freeze corleone,67,553043,France,https://i.scdn.co/image/ab6761610000e5ebe6bb669666766d932662daa3
Alonzo,70,1577363,France,https://i.scdn.co/image/ab6761610000e5eb03a4b453c6c376b9ee3c29ed
Agent Sasco (Assassin),46,21937,France,https://i.scdn.co/image/ab6761610000e5eba5137c3502ce027b618a15f9
Lacrim,65,1922807,France,https://i.scdn.co/image/ab6761610000e5eb23b44d59f0e2c2914fee7d41
Maes,68,2016887,France,https://i.scdn.co/image/ab6761610000e5eb2b5c6872fb45fa096109e5e7
Nekfeu,70,2177444,France,https://i.scdn.co/image/993e6f5f13ed0cc9107f2c47ea56b525d0973020
MHD,61,1904741,France,https://i.scdn.co/image/ab6761610000e5ebe6f4dc87f1463ef5f081185d
Rilès,60,801249,France,https://i.scdn.co/image/ab6761610000e5eb4fbff528733c1f4d20a04dcc
Orelsan,68,1836021,France,https://i.scdn.co/image/ab6761610000e5eb3f036bec5c93a2e4d8ddae61
Hornet La Frappe,62,1424425,France,https://i.scdn.co/image/ab6761610000e5ebd42cf2e7d90886497459fe51
PLK,70,1152438,France,https://i.scdn.co/image/ab6761610000e5eb6f6901a30f43d03cbc443f81
KeBlack,60,1006167,France,https://i.scdn.co/image/ab6761610000e5eb13488e97177fad67ed11c3dc
Soprano,63,2767781,France,https://i.scdn.co/image/ab6761610000e5ebc240ec71420d2f557cc6f5a5
Laylow,67,479855,France,https://i.scdn.co/image/ab6761610000e5eb78d1ed629fc28d0d89dab346
Kalash,61,446266,France,https://i.scdn.co/image/ab6761610000e5ebbeffebd066171f03029a3c2a
Heuss L'enfoiré,64,1207112,France,https://i.scdn.co/image/ab6761610000e5ebeec09f58eb9419e80f1fcb03
Lomepal,66,1505540,France,https://i.scdn.co/image/ab6761610000e5eb575c6f1b8aa1dd26d4b767b3
